,train,val
0,TCGA-06-0125,TCGA-IK-7675
1,TCGA-06-0141,TCGA-DU-5870
2,TCGA-06-0152,TCGA-HT-A618
3,TCGA-06-0157,TCGA-HT-7467
4,TCGA-06-0158,TCGA-KT-A7W1
5,TCGA-06-0168,TCGA-CS-5396
6,TCGA-06-0171,TCGA-FG-8187
7,TCGA-06-0174,TCGA-CS-4938
8,TCGA-06-0184,TCGA-DU-6393
9,TCGA-06-0210,TCGA-DU-6396
10,TCGA-06-0211,TCGA-06-0882
11,TCGA-06-0219,TCGA-HT-7469
12,TCGA-06-0221,TCGA-FG-A4MU
13,TCGA-06-0238,TCGA-DU-7009
14,TCGA-06-0644,TCGA-WH-A86K
15,TCGA-06-0649,TCGA-DU-A7T8
16,TCGA-06-0744,TCGA-HT-7473
17,TCGA-06-0745,TCGA-06-0129
18,TCGA-06-0747,TCGA-27-1831
19,TCGA-06-0750,TCGA-06-0130
20,TCGA-06-0878,TCGA-S9-A6WE
21,TCGA-06-5408,TCGA-06-0190
22,TCGA-06-5410,TCGA-DU-A7TG
23,TCGA-06-5411,TCGA-RY-A845
24,TCGA-06-5413,TCGA-DU-6395
25,TCGA-06-5414,TCGA-06-0187
26,TCGA-06-5415,TCGA-HT-7483
27,TCGA-06-5856,TCGA-12-3653
28,TCGA-06-5859,TCGA-DU-A6S7
29,TCGA-08-0386,TCGA-F6-A8O3
30,TCGA-12-0616,TCGA-14-0817
31,TCGA-12-0619,TCGA-HT-A74L
32,TCGA-12-0821,TCGA-CS-6188
33,TCGA-12-3650,TCGA-DU-7018
34,TCGA-12-3652,TCGA-06-0743
35,TCGA-14-0787,TCGA-HT-7873
36,TCGA-14-0789,TCGA-HT-7677
37,TCGA-14-1034,TCGA-06-5418
38,TCGA-14-1823,TCGA-DU-A7TJ
39,TCGA-14-1825,TCGA-14-1829
40,TCGA-15-0742,TCGA-06-0646
41,TCGA-19-1787,TCGA-DU-7290
42,TCGA-19-2619,TCGA-06-5412
43,TCGA-19-2620,TCGA-FG-A713
44,TCGA-19-2624,TCGA-06-0749
45,TCGA-19-2625,TCGA-DU-6397
46,TCGA-19-2629,TCGA-HT-7607
47,TCGA-19-4065,TCGA-19-1390
48,TCGA-26-5135,TCGA-HT-A616
49,TCGA-27-1830,TCGA-DU-8167
50,TCGA-27-1832,TCGA-DU-A7T6
51,TCGA-27-1834,TCGA-DU-8168
52,TCGA-27-1835,TCGA-DU-7019
53,TCGA-27-1837,TCGA-06-5858
54,TCGA-41-2571,TCGA-HT-8106
55,TCGA-41-2572,TCGA-S9-A7R2
56,TCGA-41-3915,TCGA-DU-A7TC
57,TCGA-41-4097,TCGA-HT-7475
58,TCGA-41-5651,TCGA-06-0686
59,TCGA-CS-4941,TCGA-06-0645
60,TCGA-CS-4942,TCGA-WY-A85B
61,TCGA-CS-4943,TCGA-DU-7015
62,TCGA-CS-4944,
63,TCGA-CS-5393,
64,TCGA-CS-5394,
65,TCGA-CS-5395,
66,TCGA-CS-5397,
67,TCGA-CS-6186,
68,TCGA-CS-6290,
69,TCGA-CS-6665,
70,TCGA-CS-6666,
71,TCGA-CS-6667,
72,TCGA-CS-6668,
73,TCGA-CS-6670,
74,TCGA-DB-A4XC,
75,TCGA-DB-A4XD,
76,TCGA-DB-A4XE,
77,TCGA-DU-5847,
78,TCGA-DU-5849,
79,TCGA-DU-5851,
80,TCGA-DU-5852,
81,TCGA-DU-5853,
